# LET [MeV/cm], E [MeV], beta 
39.7329,11.8824,0.158217
39.6653,11.9073,0.158379
39.598,11.9322,0.158542
39.531,11.9571,0.158704
39.4642,11.982,0.158866
39.3976,12.0069,0.159028
39.3313,12.0318,0.15919
39.2653,12.0567,0.159351
39.1995,12.0816,0.159512
39.1339,12.1065,0.159674
39.0686,12.1314,0.159834
39.0035,12.1563,0.159995
38.9386,12.1812,0.160156
38.874,12.2061,0.160316
38.8096,12.231,0.160477
38.7455,12.2559,0.160637
38.6816,12.2808,0.160797
38.6179,12.3057,0.160956
38.5545,12.3306,0.161116
38.4913,12.3555,0.161276
38.4283,12.3804,0.161435
38.3656,12.4053,0.161594
38.303,12.4302,0.161753
38.2407,12.4551,0.161912
38.1787,12.48,0.16207
38.1168,12.505,0.162229
38.0552,12.5299,0.162387
37.9938,12.5548,0.162545
37.9326,12.5797,0.162703
37.8716,12.6046,0.16286
37.8108,12.6295,0.163018
37.7503,12.6544,0.163175
37.69,12.6793,0.163333
37.6298,12.7042,0.16349
37.5699,12.7291,0.163647
37.5102,12.754,0.163804
37.4507,12.7789,0.16396
37.3915,12.8038,0.164117
37.3324,12.8287,0.164273
37.2735,12.8536,0.164429
37.2149,12.8785,0.164585
37.1564,12.9034,0.164741
37.0982,12.9283,0.164896
37.0401,12.9532,0.165052
36.9823,12.9781,0.165207
36.9246,13.003,0.165362
36.8672,13.0279,0.165517
36.8099,13.0528,0.165672
36.7529,13.0777,0.165827
36.696,13.1026,0.165981
36.6393,13.1275,0.166136
36.5828,13.1524,0.16629
36.5266,13.1773,0.166444
36.4705,13.2022,0.166598
36.4146,13.2271,0.166752
36.3589,13.252,0.166905
36.3033,13.2769,0.167059
36.248,13.3018,0.167212
36.1928,13.3267,0.167365
36.1379,13.3516,0.167518
36.0831,13.3765,0.167671
36.0285,13.4014,0.167824
35.9741,13.4263,0.167976
35.9199,13.4512,0.168129
35.8658,13.4761,0.168281
35.8119,13.5011,0.168433
35.7582,13.526,0.168585
35.7047,13.5509,0.168737
35.6514,13.5758,0.168888
35.5982,13.6007,0.16904
35.5452,13.6256,0.169191
35.4924,13.6505,0.169342
35.4398,13.6754,0.169493
35.3873,13.7003,0.169644
35.335,13.7252,0.169795
35.2829,13.7501,0.169946
35.231,13.775,0.170096
35.1792,13.7999,0.170247
35.1276,13.8248,0.170397
35.0761,13.8497,0.170547
35.0248,13.8746,0.170697
34.9737,13.8995,0.170846
34.9228,13.9244,0.170996
34.872,13.9493,0.171146
34.8213,13.9742,0.171295
34.7709,13.9991,0.171444
34.7206,14.024,0.171593
34.6704,14.0489,0.171742
34.6205,14.0738,0.171891
34.5706,14.0987,0.172039
34.521,14.1236,0.172188
34.4715,14.1485,0.172336
34.4221,14.1734,0.172484
34.3729,14.1983,0.172632
34.3239,14.2232,0.17278
34.275,14.2481,0.172928
34.2263,14.273,0.173076
34.1777,14.2979,0.173223
34.1293,14.3228,0.173371
34.081,14.3477,0.173518
34.0329,14.3726,0.173665
33.985,14.3975,0.173812
33.9371,14.4224,0.173959
33.8895,14.4473,0.174105
33.842,14.4722,0.174252
33.7946,14.4971,0.174398
33.7474,14.5221,0.174545
33.7003,14.547,0.174691
33.6533,14.5719,0.174837
33.6065,14.5968,0.174983
33.5599,14.6217,0.175128
33.5134,14.6466,0.175274
33.467,14.6715,0.17542
33.4208,14.6964,0.175565
33.3747,14.7213,0.17571
33.3288,14.7462,0.175855
33.283,14.7711,0.176
33.2374,14.796,0.176145
33.1918,14.8209,0.17629
33.1465,14.8458,0.176434
33.1012,14.8707,0.176579
33.0561,14.8956,0.176723
33.0111,14.9205,0.176867
32.9663,14.9454,0.177011
32.9216,14.9703,0.177155
32.877,14.9952,0.177299
32.8326,15.0201,0.177443
32.7883,15.045,0.177586
32.7441,15.0699,0.17773
32.7001,15.0948,0.177873
32.6562,15.1197,0.178016
32.6124,15.1446,0.178159
32.5688,15.1695,0.178302
32.5253,15.1944,0.178445
32.4819,15.2193,0.178587
32.4386,15.2442,0.17873
32.3955,15.2691,0.178872
32.3525,15.294,0.179015
32.3096,15.3189,0.179157
32.2668,15.3438,0.179299
32.2242,15.3687,0.179441
32.1817,15.3936,0.179583
32.1393,15.4185,0.179724
32.0971,15.4434,0.179866
32.055,15.4683,0.180007
32.013,15.4932,0.180148
31.9711,15.5182,0.18029
31.9293,15.5431,0.180431
31.8877,15.568,0.180572
31.8461,15.5929,0.180712
31.8047,15.6178,0.180853
31.7634,15.6427,0.180994
31.7223,15.6676,0.181134
31.6812,15.6925,0.181274
31.6403,15.7174,0.181415
31.5995,15.7423,0.181555
31.5588,15.7672,0.181695
31.5182,15.7921,0.181835
31.4778,15.817,0.181974
31.4374,15.8419,0.182114
31.3972,15.8668,0.182253
31.3571,15.8917,0.182393
31.317,15.9166,0.182532
31.2772,15.9415,0.182671
31.2374,15.9664,0.18281
31.1977,15.9913,0.182949
31.1581,16.0162,0.183088
31.1187,16.0411,0.183227
31.0794,16.066,0.183365
31.0401,16.0909,0.183504
31.001,16.1158,0.183642
30.962,16.1407,0.18378
30.9231,16.1656,0.183918
30.8843,16.1905,0.184056
30.8457,16.2154,0.184194
30.8071,16.2403,0.184332
30.7686,16.2652,0.18447
30.7303,16.2901,0.184607
30.692,16.315,0.184744
30.6538,16.3399,0.184882
30.6158,16.3648,0.185019
30.5779,16.3897,0.185156
30.54,16.4146,0.185293
30.5023,16.4395,0.18543
30.4647,16.4644,0.185567
30.4272,16.4893,0.185703
30.3897,16.5143,0.18584
30.3524,16.5392,0.185976
30.3152,16.5641,0.186113
30.2781,16.589,0.186249
30.2411,16.6139,0.186385
30.2041,16.6388,0.186521
30.1673,16.6637,0.186657
30.1306,16.6886,0.186792
30.094,16.7135,0.186928
30.0575,16.7384,0.187064
30.0211,16.7633,0.187199
29.9847,16.7882,0.187334
29.9485,16.8131,0.187469
29.9124,16.838,0.187605
29.8764,16.8629,0.18774
29.8404,16.8878,0.187874
29.8046,16.9127,0.188009
29.7688,16.9376,0.188144
29.7332,16.9625,0.188278
